========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
134      OK       1218.97 ± 0.76 (1218.28-1220.95)     109.9        12214.0       91.1      25.1%
135      OK       1222.15 ± 0.52 (1221.43-1223.08)     110.5        12232.3       90.6      25.1%
136      OK       1227.55 ± 0.59 (1226.62-1228.64)     110.8        12225.2       89.9      25.1%
137      OK       1240.18 ± 0.68 (1239.17-1241.13)     110.5        12247.0       89.4      25.2%
138      OK       1247.20 ± 1.11 (1245.95-1249.33)     110.6        12250.7       88.8      25.2%
139      OK       1267.57 ± 0.71 (1266.86-1269.25)     109.7        12262.9       88.2      25.2%
140      OK       1259.19 ± 0.81 (1257.76-1260.46)     111.2        12276.4       87.7      25.2%
141      OK       1281.26 ± 0.56 (1280.19-1282.14)     110.0        12287.6       87.1      25.2%
142      OK       1298.14 ± 0.63 (1297.23-1299.35)     109.4        12305.8       86.7      25.3%
143      OK       1293.77 ± 0.88 (1291.78-1294.93)     110.5        12329.0       86.2      25.3%
144      OK       1297.79 ± 0.82 (1296.37-1299.11)     111.0        12326.9       85.6      25.3%
145      OK       1310.33 ± 0.67 (1309.36-1311.30)     110.7        12338.0       85.1      25.4%
146      OK       1317.58 ± 1.01 (1316.32-1319.39)     110.8        12350.3       84.6      25.4%
147      OK       1341.74 ± 0.53 (1340.56-1342.52)     109.6        12361.3       84.1      25.4%
148      OK       1328.19 ± 1.12 (1326.96-1331.03)     111.4        12375.3       83.6      25.4%
149      OK       1352.34 ± 0.49 (1351.66-1353.15)     110.2        12388.3       83.1      25.5%
150      OK       1360.09 ± 1.03 (1358.52-1362.32)     110.3        12399.6       82.7      25.5%
151      OK       1364.20 ± 0.75 (1363.35-1365.68)     110.7        12419.2       82.2      25.5%
152      OK       1369.48 ± 0.90 (1368.17-1370.96)     111.0        12431.8       81.8      25.5%
153      OK       1378.87 ± 0.97 (1377.45-1380.24)     111.0        12439.6       81.3      25.6%
154      OK       1387.02 ± 0.85 (1385.85-1388.57)     111.0        12448.2       80.8      25.6%
155      OK       1393.82 ± 0.77 (1391.95-1394.73)     111.2        12463.8       80.4      25.6%
156      OK       1422.29 ± 0.67 (1420.93-1423.53)     109.7        12473.7       80.0      25.6%
157      OK       1425.71 ± 0.82 (1424.39-1427.15)     110.1        12490.9       79.6      25.7%
158      OK       1431.83 ± 0.57 (1430.93-1433.00)     110.3        12500.2       79.1      25.7%
159      OK       1451.49 ± 1.41 (1449.93-1455.24)     109.5        12519.0       78.7      25.7%
160      OK       1446.73 ± 0.63 (1445.51-1447.65)     110.6        12540.0       78.4      25.8%
161      OK       1449.45 ± 0.65 (1448.66-1450.57)     111.1        12536.5       77.9      25.8%
162      OK       1457.95 ± 0.45 (1457.30-1458.70)     111.1        12554.1       77.5      25.8%
163      OK       1463.70 ± 1.21 (1461.94-1465.81)     111.4        12563.0       77.1      25.8%
164      OK       1494.44 ± 0.58 (1493.64-1495.55)     109.7        12573.0       76.7      25.8%
165      OK       1497.88 ± 0.65 (1496.93-1498.89)     110.2        12585.1       76.3      25.9%
166      OK       1504.37 ± 0.74 (1503.20-1505.98)     110.3        12597.9       75.9      25.9%
167      OK       1514.07 ± 0.90 (1512.23-1514.94)     110.3        12611.0       75.5      25.9%
168      OK       1517.43 ± 0.68 (1516.72-1519.26)     110.7        12636.4       75.2      26.0%
169      OK       1523.16 ± 0.94 (1521.84-1525.17)     111.0        12641.7       74.8      26.0%
170      OK       1527.57 ± 1.15 (1525.15-1528.94)     111.3        12647.2       74.4      26.0%
171      OK       1535.07 ± 1.32 (1532.93-1537.20)     111.4        12657.9       74.0      26.0%
172      OK       1566.95 ± 1.13 (1565.48-1569.64)     109.8        12675.9       73.7      26.0%
173      OK       1574.98 ± 0.56 (1574.14-1575.84)     109.8        12684.0       73.3      26.1%
174      OK       1578.68 ± 0.89 (1577.72-1580.75)     110.2        12697.9       73.0      26.1%
175      OK       1585.35 ± 1.37 (1583.31-1588.80)     110.4        12710.2       72.6      26.1%
176      OK       1604.48 ± 0.99 (1603.39-1606.63)     109.7        12728.5       72.3      26.2%
177      OK       1593.18 ± 0.93 (1592.16-1595.48)     111.1        12751.6       72.0      26.2%
178      OK       1597.98 ± 0.89 (1596.89-1600.00)     111.4        12744.4       71.6      26.2%
