========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
219      OK       103.29 ± 4.04 (95.95-108.27)    2120.3         1408.4        6.4       2.9%
220      OK       105.11 ± 3.37 (98.02-109.76)    2093.0         1413.1        6.4       2.9%
221      OK       105.56 ± 3.05 (100.43-110.09)    2093.6         1418.8        6.4       2.9%
222      OK       106.32 ± 3.83 (99.09-110.44)    2088.1         1425.0        6.4       2.9%
223      OK       106.01 ± 2.89 (100.18-110.21)    2103.5         1430.8        6.4       2.9%
224      OK       106.14 ± 3.11 (101.24-110.37)    2110.3         1437.2        6.4       3.0%
225      OK       107.31 ± 3.24 (101.09-111.16)    2096.8         1442.9        6.4       3.0%
226      OK       108.36 ± 4.26 (100.89-112.73)    2085.7         1449.2        6.4       3.0%
227      OK       108.13 ± 2.79 (103.46-111.56)    2099.4         1455.0        6.4       3.0%
228      OK       107.80 ± 3.37 (103.04-112.45)    2115.0         1461.1        6.4       3.0%
229      OK       108.33 ± 3.90 (101.35-112.75)    2114.0         1466.4        6.4       3.0%
230      OK       109.05 ± 3.48 (101.34-113.76)    2109.1         1471.8        6.4       3.0%
231      OK       109.60 ± 3.10 (102.95-113.17)    2107.7         1478.0        6.4       3.0%
232      OK       109.85 ± 2.86 (104.86-114.81)    2111.9         1485.2        6.4       3.1%
233      OK       111.01 ± 2.66 (106.08-114.15)    2098.8         1490.6        6.4       3.1%
234      OK       110.77 ± 3.61 (103.80-114.44)    2112.5         1496.1        6.4       3.1%
235      OK       111.40 ± 3.42 (104.67-115.39)    2109.4         1501.8        6.4       3.1%
236      OK       111.87 ± 3.57 (104.49-116.30)    2109.7         1508.5        6.4       3.1%
237      OK       115.87 ± 7.19 (105.18-128.70)    2045.4         1513.3        6.4       3.1%
238      OK       116.10 ± 7.26 (105.63-128.56)    2050.0         1519.3        6.4       3.1%
239      OK       116.90 ± 6.00 (109.29-130.44)    2044.4         1526.0        6.4       3.1%
240      OK       117.17 ± 6.60 (106.79-127.17)    2048.3         1532.6        6.4       3.1%
241      OK       117.08 ± 3.71 (109.53-124.36)    2058.5         1538.5        6.4       3.2%
242      OK       118.36 ± 7.18 (110.74-131.78)    2044.7         1543.1        6.4       3.2%
243      OK       119.20 ± 6.92 (110.42-133.13)    2038.5         1549.4        6.4       3.2%
244      OK       118.45 ± 7.91 (108.06-132.27)    2059.9         1555.2        6.4       3.2%
245      OK       118.86 ± 2.45 (113.55-122.00)    2061.2         1561.6        6.4       3.2%
246      OK       119.87 ± 7.61 (110.34-135.27)    2052.3         1568.4        6.4       3.2%
247      OK       120.80 ± 7.12 (110.31-133.98)    2044.7         1573.5        6.4       3.2%
