========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
133      OK       136.18 ± 0.47 (135.82-137.54)     976.7         1664.2       12.5       3.4%
134      OK       137.11 ± 0.32 (136.73-137.93)     977.3         1676.6       12.5       3.4%
135      OK       138.02 ± 0.32 (137.76-138.87)     978.1         1688.4       12.5       3.5%
136      OK       137.65 ± 0.41 (137.31-138.79)     988.0         1701.5       12.5       3.5%
137      OK       140.13 ± 0.42 (139.79-141.27)     977.7         1711.8       12.5       3.5%
138      OK       141.04 ± 0.23 (140.84-141.66)     978.5         1722.8       12.5       3.5%
139      OK       142.03 ± 0.40 (141.68-142.99)     978.6         1735.9       12.5       3.6%
140      OK       141.40 ± 0.47 (141.00-142.59)     990.1         1746.2       12.5       3.6%
141      OK       144.03 ± 0.42 (143.70-145.21)     978.9         1759.3       12.5       3.6%
142      OK       145.04 ± 0.34 (144.67-145.83)     979.0         1772.5       12.5       3.6%
143      OK       146.11 ± 0.41 (145.71-147.09)     978.7         1783.4       12.5       3.7%
144      OK       145.58 ± 0.41 (145.21-146.63)     989.1         1795.1       12.5       3.7%
145      OK       148.34 ± 0.33 (148.01-149.15)     977.5         1806.4       12.5       3.7%
146      OK       149.14 ± 0.40 (148.73-150.16)     979.0         1817.1       12.4       3.7%
147      OK       150.11 ± 0.41 (149.78-151.21)     979.3         1828.9       12.4       3.8%
148      OK       149.62 ± 0.40 (149.07-150.46)     989.2         1841.9       12.4       3.8%
149      OK       152.15 ± 0.49 (151.66-153.48)     979.3         1853.2       12.4       3.8%
150      OK       153.63 ± 0.69 (153.15-155.58)     976.4         1865.2       12.4       3.8%
151      OK       154.52 ± 0.49 (153.99-155.82)     977.2         1877.7       12.4       3.9%
152      OK       153.67 ± 0.53 (153.34-155.19)     989.2         1890.3       12.4       3.9%
153      OK       156.43 ± 0.34 (156.07-157.23)     978.1         1900.8       12.4       3.9%
154      OK       157.38 ± 0.55 (156.83-158.88)     978.5         1912.3       12.4       3.9%
155      OK       158.27 ± 0.48 (157.77-159.55)     979.3         1925.6       12.4       4.0%
156      OK       157.37 ± 0.49 (156.97-158.65)     991.3         1936.1       12.4       4.0%
157      OK       160.44 ± 0.51 (160.00-161.83)     978.5         1947.1       12.4       4.0%
158      OK       161.48 ± 0.53 (161.05-162.95)     978.4         1960.1       12.4       4.0%
159      OK       162.23 ± 0.52 (161.74-163.59)     980.1         1970.6       12.4       4.0%
160      OK       161.44 ± 0.58 (160.82-162.60)     991.1         1984.1       12.4       4.1%
161      OK       164.43 ± 0.22 (164.28-165.06)     979.1         1996.4       12.4       4.1%
162      OK       165.35 ± 0.57 (164.82-166.42)     979.7         2007.5       12.4       4.1%
163      OK       166.21 ± 0.48 (165.80-167.17)     980.7         2019.2       12.4       4.1%
164      OK       165.25 ± 0.40 (164.94-166.43)     992.4         2030.2       12.4       4.2%
165      OK       168.29 ± 0.56 (167.73-169.39)     980.4         2041.5       12.4       4.2%
166      OK       169.10 ± 0.38 (168.74-170.07)     981.7         2053.3       12.4       4.2%
167      OK       169.98 ± 0.35 (169.72-170.92)     982.5         2066.1       12.4       4.2%
168      OK       169.25 ± 0.31 (168.84-170.00)     992.6         2079.5       12.4       4.3%
169      OK       172.19 ± 0.51 (171.67-173.40)     981.5         2090.4       12.4       4.3%
170      OK       173.09 ± 0.35 (172.75-173.98)     982.1         2101.8       12.4       4.3%
171      OK       174.06 ± 0.65 (173.56-175.87)     982.4         2114.4       12.4       4.3%
172      OK       173.14 ± 0.33 (172.70-173.74)     993.4         2125.1       12.4       4.4%
173      OK       176.03 ± 0.27 (175.75-176.55)     982.8         2136.3       12.3       4.4%
174      OK       177.50 ± 0.37 (177.01-178.38)     980.3         2149.7       12.4       4.4%
175      OK       178.01 ± 0.40 (177.57-178.92)     983.1         2160.5       12.3       4.4%
176      OK       177.18 ± 0.72 (176.44-179.06)     993.4         2172.4       12.3       4.5%
177      OK       180.12 ± 0.47 (179.60-181.19)     982.7         2184.3       12.3       4.5%
178      OK       181.01 ± 0.37 (180.59-181.81)     983.3         2196.0       12.3       4.5%
179      OK       182.62 ± 0.49 (182.20-183.88)     980.2         2208.3       12.3       4.5%
180      OK       180.90 ± 0.44 (180.60-182.07)     995.0         2220.4       12.3       4.6%
181      OK       184.24 ± 0.78 (183.48-185.73)     982.4         2231.5       12.3       4.6%
182      OK       185.22 ± 0.79 (184.56-186.79)     982.6         2243.2       12.3       4.6%
183      OK       186.14 ± 0.63 (185.63-187.67)     983.1         2254.5       12.3       4.6%
184      OK       185.23 ± 0.90 (184.57-187.03)     993.4         2267.7       12.3       4.7%
185      OK       188.33 ± 0.64 (187.80-189.90)     982.3         2277.7       12.3       4.7%
186      OK       189.59 ± 0.61 (189.01-190.99)     981.1         2290.2       12.3       4.7%
187      OK       190.35 ± 0.73 (189.82-192.20)     982.4         2304.5       12.3       4.7%
188      OK       189.09 ± 0.69 (188.46-190.81)     994.2         2315.3       12.3       4.8%
189      OK       192.32 ± 0.44 (191.92-193.40)     982.7         2326.0       12.3       4.8%
190      OK       193.32 ± 0.57 (192.71-194.71)     982.8         2338.4       12.3       4.8%
191      OK       194.46 ± 0.39 (193.95-195.16)     982.2         2349.3       12.3       4.8%
192      OK       193.04 ± 1.56 (192.12-197.63)     994.6         2360.4       12.3       4.8%
